Indirizzo,Titolo 1,H1-1,H2-1,H2-2
https://easyworkagency.com/corso-par-gol/inglese-per-la-gestione-amministrativa/,Inglese per la Gestione Amministrativa – Easy Work,Inglese per la Gestione Amministrativa,Per i cittadini,Per le aziende
https://easyworkagency.com/corso-par-gol/tecnico-commerciale-energie-rinnovabili/,Tecnico Commerciale Energie Rinnovabili – Easy Work,Tecnico Commerciale Energie Rinnovabili,Per i cittadini,Per le aziende
https://easyworkagency.com/corso-par-gol/addetto-al-servizio-ai-piani/,Addetto Al Servizio Ai Piani – Easy Work,Addetto Al Servizio Ai Piani,Per i cittadini,Per le aziende
https://easyworkagency.com/corso-par-gol/oac-operatore-amministrativo-contabile/,OAC – Operatore Amministrativo Contabile – Easy Work,OAC – Operatore Amministrativo Contabile,Per i cittadini,Per le aziende
https://easyworkagency.com/corso-par-gol/social-media-manager/,Social Media Manager – Easy Work,Social Media Manager,Per i cittadini,Per le aziende
https://easyworkagency.com/corso-par-gol/operatore-segretariale/,Operatore Segretariale – Easy Work,Operatore Segretariale,Per i cittadini,Per le aziende
https://easyworkagency.com/corso-par-gol/operatore-edile/,Operatore Edile – Easy Work,Operatore Edile,Per i cittadini,Per le aziende
https://easyworkagency.com/corso-par-gol/tecnico-di-coordinamento-del-cantiere/,Tecnico di Coordinamento del Cantiere – Easy Work,Tecnico di Coordinamento del Cantiere,Per i cittadini,Per le aziende
https://easyworkagency.com/corso-par-gol/operatore-del-servizio-di-sala-cameriere/,Operatore del Servizio di Sala – Cameriere – Easy Work,Operatore del Servizio di Sala – Cameriere,Per i cittadini,Per le aziende
https://easyworkagency.com/corso-par-gol/tecnico-commerciale-delle-vendite/,Tecnico commerciale delle vendite – Easy Work,Tecnico commerciale delle vendite,Per i cittadini,Per le aziende
https://easyworkagency.com/corso-par-gol/operatore-dellinfanzia/,Operatore dell’Infanzia – Easy Work,Operatore dell’Infanzia,Per i cittadini,Per le aziende
https://easyworkagency.com/corso-par-gol/operatore-call-center-inbound/,Operatore Call Center Inbound – Easy Work,Operatore Call Center Inbound,Per i cittadini,Per le aziende
https://easyworkagency.com/corso-par-gol/tecnico-esperto-in-campagne-comunicativo-promozionali/,Tecnico Esperto in Campagne Comunicativo/ Promozionali – Easy Work,Tecnico Esperto in Campagne Comunicativo/ Promozionali,Per i cittadini,Per le aziende
https://easyworkagency.com/corso-par-gol/operatore-alla-conduzione-di-gru-e-di-apparecchi-di-sollevamento/,Operatore alla Conduzione di Gru e di Apparecchi di Sollevamento – Easy Work,Operatore alla Conduzione di Gru e di Apparecchi di Sollevamento,Per i cittadini,Per le aziende
https://easyworkagency.com/corso-par-gol/operatore-alla-conduzione-di-macchine-complesse/,Operatore alla Conduzione di Macchine Complesse – Easy Work,Operatore alla Conduzione di Macchine Complesse,Per i cittadini,Per le aziende
https://easyworkagency.com/corso-par-gol/operatore-socio-assistenziale-o-s-a/,Operatore Socio – Assistenziale (O.S.A.) – Easy Work,Operatore Socio – Assistenziale (O.S.A.),Per i cittadini,Per le aziende
https://easyworkagency.com/corso-par-gol/analista-di-sistemi-informativi/,Analista di Sistemi Informativi – Easy Work,Analista di Sistemi Informativi,Per i cittadini,Per le aziende
https://easyworkagency.com/corso-par-gol/operatore-del-punto-vendita/,Operatore del Punto Vendita – Easy Work,Operatore del Punto Vendita,Per i cittadini,Per le aziende
https://easyworkagency.com/corso-par-gol/operatore-del-servizio-bar/,Operatore del Servizio Bar – Easy Work,Operatore del Servizio Bar,Per i cittadini,Per le aziende
https://easyworkagency.com/corso-par-gol/segretario-coordinatore-amministrativo/,Segretario – Coordinatore Amministrativo – Easy Work,Segretario – Coordinatore Amministrativo,Per i cittadini,Per le aziende
